Statistical profiling result from isolate-0x102001600-v8-67892.log, (160849 ticks, 10639 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     24    0.0%    0.0%  Builtin: JSConstructStubApi
     23    0.0%    0.0%  LazyCompile: *Buffer.toString buffer.js:501:37
     23    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
     22    0.0%    0.0%  Stub: RecordWriteStub {8}
     22    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:361:20
     22    0.0%    0.0%  LazyCompile: *exports.read /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/ieee754/index.js:1:87
     22    0.0%    0.0%  LazyCompile: *Socket._read net.js:423:34
     21    0.0%    0.0%  LazyCompile: *GetSubstitution native regexp.js:394:25
     20    0.0%    0.0%  Builtin: StringPrototypeTrim
     20    0.0%    0.0%  Builtin: StringPrototypeSubstring
     19    0.0%    0.0%  Stub: LoadFieldStub {5}
     19    0.0%    0.0%  LazyCompile: *match native string.js:44:23
     18    0.0%    0.0%  RegExp: -*[\\[\\({](.*)[\\]\\)}]-*
     18    0.0%    0.0%  Builtin: ArrayIsArray
     18    0.0%    0.0%  Builtin: Apply
     17    0.0%    0.0%  Stub: RecordWriteStub {1}
     17    0.0%    0.0%  RegExp: \\.part\\d{1\,5}$
     17    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-token.js:151:18
     16    0.0%    0.0%  RegExp: \\.vol\\d{1\,5}\\+\\d{1\,5}$
     16    0.0%    0.0%  LazyCompile: *returnReply /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/index.js:191:31
     16    0.0%    0.0%  LazyCompile: *ok /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/queue.js:93:4
     16    0.0%    0.0%  LazyCompile: *Long.fromNumber /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/long.js:701:27
     15    0.0%    0.0%  LazyCompile: *InnerArrayForEach native array.js:777:27
     14    0.0%    0.0%  Stub: RecordWriteStub {2}
     14    0.0%    0.0%  Stub: RecordWriteStub
     14    0.0%    0.0%  LazyCompile: *getExtUnpacker /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-core.js:45:24
     14    0.0%    0.0%  LazyCompile: *InnerArrayReduce native array.js:895:26
     13    0.0%    0.0%  Script: ~/Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb-core/lib/error.js
     13    0.0%    0.0%  LazyCompile: ~[Symbol.replace] native regexp.js:481:31
     13    0.0%    0.0%  LazyCompile: *writeOrBuffer _stream_writable.js:290:23
     13    0.0%    0.0%  LazyCompile: *serializeDate /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/serializer.js:152:29
     13    0.0%    0.0%  LazyCompile: *regexes.reduce /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:80:33
     13    0.0%    0.0%  LazyCompile: *howMuchToRead _stream_readable.js:247:23
     13    0.0%    0.0%  Handler: filename
